player_name,player_code,image_url,profile_url
clement-frisch,014026,https://media-cdn.cortextech.io/378db068-2283-4ef8-a400-e583a0f9922d.png,https://www.euroleaguebasketball.net/es/euroleague/players/clement-frisch/014026/
wenyen-gabriel,013383,https://media-cdn.cortextech.io/b2a934ec-11e0-4328-b9e4-2fefc29b4578.png,https://www.euroleaguebasketball.net/es/euroleague/players/wenyen-gabriel/013383/
usman-garuba,007630,https://media-cdn.cortextech.io/fb919f50-9e7d-4bbf-af92-3763895ba6b7.png,https://www.euroleaguebasketball.net/es/euroleague/players/usman-garuba/007630/
dovydas-giedraitis,007513,https://media-cdn.cortextech.io/ef636bf4-aa3b-451e-b816-00d8a94cf5f2.png,https://www.euroleaguebasketball.net/es/euroleague/players/dovydas-giedraitis/007513/
niels-giffey,001557,https://media-cdn.cortextech.io/4238ce12-6d72-4f5a-83dd-fc4a970e13b9.png,https://www.euroleaguebasketball.net/es/euroleague/players/niels-giffey/001557/
tomer-ginat,010550,https://media-cdn.cortextech.io/64a9bf27-99df-4fde-95e8-a2e6b3281a07.png,https://www.euroleaguebasketball.net/es/euroleague/players/tomer-ginat/010550/
tamir-gold,012336,,https://www.euroleaguebasketball.net/es/euroleague/players/tamir-gold/012336/
daniel-gonzalez,012884,,https://www.euroleaguebasketball.net/es/euroleague/players/daniel-gonzalez/012884/
jerian-grant,011204,https://media-cdn.cortextech.io/3ef4745b-bc65-45a0-b534-e5cea140604e.png,https://www.euroleaguebasketball.net/es/euroleague/players/jerian-grant/011204/
marius-grigonis,002328,https://media-cdn.cortextech.io/d97b2774-a6c8-41bb-b3bb-4963d81f79eb.png,https://www.euroleaguebasketball.net/es/euroleague/players/marius-grigonis/002328/
gunars-grinvalds,013555,https://media-cdn.cortextech.io/68cdf052-4309-42cf-9de4-8da8bfe37dd7.png,https://www.euroleaguebasketball.net/es/euroleague/players/gunars-grinvalds/013555/
marko-guduric,004004,https://media-cdn.cortextech.io/ac49a13d-0aaa-4ce6-9fda-1292739525ca.png,https://www.euroleaguebasketball.net/es/euroleague/players/marko-guduric/004004/
daniel-hackett,001844,https://media-cdn.cortextech.io/923cef2e-6352-41a8-8db1-791d21db3100.png,https://www.euroleaguebasketball.net/es/euroleague/players/daniel-hackett/001844/
devon-hall,011205,https://media-cdn.cortextech.io/691073bc-264c-4124-93e8-82c09abb8d5a.png,https://www.euroleaguebasketball.net/es/euroleague/players/devon-hall/011205/
donta-hall,011196,https://media-cdn.cortextech.io/0d150885-9a59-4287-8f10-dfea2434ace6.png,https://www.euroleaguebasketball.net/es/euroleague/players/donta-hall/011196/
zachary-hankins,013304,https://media-cdn.cortextech.io/e6ee1582-9705-4702-a369-bc0e9c802b62.png,https://www.euroleaguebasketball.net/es/euroleague/players/zachary-hankins/013304/
elias-harris,005460,https://media-cdn.cortextech.io/214b4fa2-16fd-4ef9-b8ac-b08745e7628f.png,https://www.euroleaguebasketball.net/es/euroleague/players/elias-harris/005460/
shaquille-harrison,013371,https://media-cdn.cortextech.io/3b994fa6-5da8-4559-ac9a-6c6400e3fd99.png,https://www.euroleaguebasketball.net/es/euroleague/players/shaquille-harrison/013371/
kevarrius-hayes,010390,https://media-cdn.cortextech.io/f8b50ed9-1f5a-4e02-9046-4ec6bd379217.png,https://www.euroleaguebasketball.net/es/euroleague/players/kevarrius-hayes/010390/
nigel-hayes-davis,008962,,https://www.euroleaguebasketball.net/es/euroleague/players/nigel-hayes-davis/008962/
sehmus-hazer,011201,https://media-cdn.cortextech.io/4ddb1fa4-97c7-4e34-9d0b-eaf23f9bf632.png,https://www.euroleaguebasketball.net/es/euroleague/players/sehmus-hazer/011201/
juancho-hernangomez,012712,https://media-cdn.cortextech.io/12459ba1-e2c3-4832-95de-3fbe43770024.png,https://www.euroleaguebasketball.net/es/euroleague/players/juancho-hernangomez/012712/
willy-hernangomez,003196,https://media-cdn.cortextech.io/2b0a03c6-90ec-400a-8b01-6c4c8c234234.png,https://www.euroleaguebasketball.net/es/euroleague/players/willy-hernangomez/003196/
sebastian-herrera,012611,https://media-cdn.cortextech.io/554a36c3-9fe5-44af-8100-9cb7752e132a.png,https://www.euroleaguebasketball.net/es/euroleague/players/sebastian-herrera/012611/
thomas-heurtel,klt,https://media-cdn.cortextech.io/738f1c5e-08d0-477c-9c7c-1a304fef6319.png,https://www.euroleaguebasketball.net/es/euroleague/players/thomas-heurtel/klt/
mario-hezonja,003108,https://media-cdn.cortextech.io/c415b3ab-6a2d-4ff4-8504-5119fca3c9f6.png,https://www.euroleaguebasketball.net/es/euroleague/players/mario-hezonja/003108/
nadir-hifi,012640,https://media-cdn.cortextech.io/19d44ea8-559e-4ae0-9560-af4d0d8c7fc6.png,https://www.euroleaguebasketball.net/es/euroleague/players/nadir-hifi/012640/
jaylen-hoard,006835,https://media-cdn.cortextech.io/3fb1a66a-a679-4665-94d2-60192fcd7e16.png,https://www.euroleaguebasketball.net/es/euroleague/players/jaylen-hoard/006835/
justus-hollatz,009513,https://media-cdn.cortextech.io/856be213-1e5f-4601-8d9e-0e442dae1ed5.png,https://www.euroleaguebasketball.net/es/euroleague/players/justus-hollatz/009513/
daulton-hommes,011949,https://media-cdn.cortextech.io/a0c586c2-a8d8-47a6-80dc-f779888633a7.png,https://www.euroleaguebasketball.net/es/euroleague/players/daulton-hommes/011949/
talen-horton-tucker,014124,https://media-cdn.cortextech.io/286f23c5-49f8-4ae7-b54d-c9bbe5e3f3e0.png,https://www.euroleaguebasketball.net/es/euroleague/players/talen-horton-tucker/014124/
